+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
| projecthub.rest.controller  | ProductController.java                    | src      |       10 |        0 |       18 |       49 |       77 |
| projecthub.rest.controller  | SprintController.java                     | src      |       11 |        0 |       18 |       57 |       86 |
| projecthub.rest.controller  | TaskController.java                       | src      |       11 |        0 |       16 |       49 |       76 |
| projecthub.rest.controller  | UserController.java                       | src      |       16 |        6 |       16 |       68 |      106 |
| projecthub.rest.controller  | VersionController.java                    | src      |       11 |        0 |       18 |       60 |       89 |
| projecthub.rest.controller  | WorklogController.java                    | src      |       11 |        0 |       16 |       41 |       68 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.rest.debug       | DebugUtil.java                            | src      |        4 |        0 |       16 |       18 |       38 |
| projecthub.rest.debug       | JsonResponseLogger.java                   | src      |        8 |        0 |       16 |       48 |       72 |
| projecthub.rest.debug       | RequestLoggingFilter.java                 | src      |       18 |        0 |       19 |       75 |      112 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.rest             | ColorDeserializer.java                    | src      |        6 |        0 |       18 |       24 |       48 |
| projecthub.rest             | ColorSerializer.java                      | src      |        6 |        0 |       17 |       17 |       40 |
| projecthub.rest             | ErrorResponse.java                        | src      |       28 |       30 |       38 |      135 |      231 |
| projecthub.rest             | GlobalExceptionHandler.java               | src      |        9 |        0 |       16 |       40 |       65 |
| projecthub.rest             | JacksonConfig.java                        | src      |        7 |        0 |       19 |       67 |       93 |
| projecthub.rest             | OffsetDateTimeDeserializer.java           | src      |        5 |        0 |       17 |       19 |       41 |
| projecthub.rest             | OffsetDateTimeSerializer.java             | src      |        5 |        0 |       17 |       18 |       40 |
| projecthub.rest             | RestClientConfig.java                     | src      |        4 |        0 |       16 |       22 |       42 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.security         | KeycloakTestContainer.java                | src      |        6 |       11 |      130 |       15 |      162 |
| projecthub.security         | OidcApiSecurityConfig.java                | src      |       16 |       16 |       37 |       71 |      140 |
| projecthub.security         | OidcSecurityConfig.java                   | src      |       24 |       20 |       28 |      113 |      185 |
| projecthub.security         | SecurityConfig.java                       | src      |       21 |       10 |       32 |      127 |      190 |
| projecthub.security         | SecurityDataInitializer.java              | src      |        9 |        0 |       19 |       28 |       56 |
| projecthub.security         | SecurityUser.java                         | src      |       10 |        0 |       16 |       55 |       81 |
| projecthub.security         | SecurityUserDetailsService.java           | src      |        5 |        0 |       16 |       16 |       37 |
| projecthub.security         | SecurityUserRepository.java               | src      |        4 |        0 |       16 |        8 |       28 |
| projecthub.security         | SecurityUtils.java                        | src      |       12 |       25 |       16 |       45 |       98 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.test.util        | OllamaTestHelper.java                     | src      |       29 |       21 |       20 |      109 |      179 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.component     | AbstractMainGrid.java                     | src      |       64 |       73 |       37 |      317 |      491 |
| projecthub.ui.component     | Breadcrumbs.java                          | src      |       17 |        0 |       21 |       83 |      121 |
| projecthub.ui.component     | GlobalAiFilter.java                       | src      |       40 |        8 |       32 |      184 |      264 |
| projecthub.ui.component     | ThemeToggle.java                          | src      |        9 |        0 |       20 |       50 |       79 |
| projecthub.ui.component     | ViewToolbar.java                          | src      |        9 |        0 |       16 |       33 |       58 |
| projecthub.ui.component     | YearCalendarComponent.java                | src      |       47 |       45 |       54 |      249 |      395 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.dialog        | AvailabilityDialog.java                   | src      |       27 |        0 |       34 |      118 |      179 |
| projecthub.ui.dialog        | ConfirmDialog.java                        | src      |       10 |       11 |       17 |       35 |       73 |
| projecthub.ui.dialog        | FeatureDialog.java                        | src      |       19 |       17 |       19 |       67 |      122 |
| projecthub.ui.dialog        | LocationDialog.java                       | src      |       42 |        0 |       42 |      223 |      307 |
| projecthub.ui.dialog        | OffDayDialog.java                         | src      |       25 |        0 |       42 |      123 |      190 |
| projecthub.ui.dialog        | ProductDialog.java                        | src      |       20 |       17 |       19 |       67 |      123 |
| projecthub.ui.dialog        | SprintDialog.java                         | src      |       19 |       17 |       19 |       66 |      121 |
| projecthub.ui.dialog        | UserDialog.java                           | src      |       28 |        9 |       25 |      132 |      194 |
| projecthub.ui.dialog        | VersionDialog.java                        | src      |       20 |       17 |       20 |       67 |      124 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.util.selenium | ScreenShotCreator.java                    | src      |       15 |        7 |       35 |       78 |      135 |
| projecthub.ui.util.selenium | SeleniumHandler.java                      | src      |      118 |      172 |       75 |      721 |     1086 |
| projecthub.ui.util.selenium | SeleniumTestResultExtension.java          | src      |        9 |        0 |       17 |       42 |       68 |
| projecthub.ui.util.selenium | VideoRecorder.java                        | src      |       28 |       40 |       28 |      135 |      231 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.util          | AbstractUiTestUtil.java                   | src      |        9 |        0 |       20 |       18 |       47 |
| projecthub.ui.util          | RenderUtil.java                           | src      |       12 |       40 |       18 |      103 |      173 |
| projecthub.ui.util          | VaadinUtil.java                           | src      |       63 |      152 |       27 |      272 |      514 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.view.util     | AvailabilityListViewTester.java           | src      |       40 |      120 |       43 |      134 |      337 |
| projecthub.ui.view.util     | FeatureListViewTester.java                | src      |       18 |       95 |       18 |       77 |      208 |
| projecthub.ui.view.util     | LocationListViewTester.java               | src      |       35 |      117 |       33 |      132 |      317 |
| projecthub.ui.view.util     | OffDayListViewTester.java                 | src      |       52 |      142 |       56 |      154 |      404 |
| projecthub.ui.view.util     | ProductListViewTester.java                | src      |       30 |      115 |       52 |      138 |      335 |
| projecthub.ui.view.util     | SprintListViewTester.java                 | src      |       19 |       96 |       18 |       80 |      213 |
| projecthub.ui.view.util     | TaskListViewTester.java                   | src      |        9 |       45 |       40 |       16 |      110 |
| projecthub.ui.view.util     | UserListViewTester.java                   | src      |       17 |      115 |       32 |      126 |      290 |
| projecthub.ui.view.util     | VersionListViewTester.java                | src      |       18 |       94 |       18 |       77 |      207 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui.view          | AvailabilityListView.java                 | src      |       24 |        6 |       44 |      181 |      255 |
| projecthub.ui.view          | AvailabilityListViewTest.java             | src      |       15 |       80 |       31 |       81 |      207 |
| projecthub.ui.view          | FeatureListView.java                      | src      |       19 |        0 |       26 |      193 |      238 |
| projecthub.ui.view          | FeatureListViewTest.java                  | src      |       14 |       81 |       23 |       83 |      201 |
| projecthub.ui.view          | LocationListView.java                     | src      |       32 |       14 |       62 |      214 |      322 |
| projecthub.ui.view          | LocationListViewTest.java                 | src      |       13 |       74 |       25 |       78 |      190 |
| projecthub.ui.view          | LoginView.java                            | src      |       33 |        3 |       35 |      154 |      225 |
| projecthub.ui.view          | MainView.java                             | src      |        7 |        7 |       18 |       25 |       57 |
| projecthub.ui.view          | OffDayListView.java                       | src      |       34 |       11 |       56 |      213 |      314 |
| projecthub.ui.view          | OffDayListViewTest.java                   | src      |       23 |       77 |       35 |      117 |      252 |
| projecthub.ui.view          | ProductListView.java                      | src      |       25 |        3 |       31 |      175 |      234 |
| projecthub.ui.view          | ProductListViewTest.java                  | src      |       12 |       63 |       18 |       68 |      161 |
